redmine_type, redmine_name, github_label_name, github_label_color
status, Feedback, Feedback, cccccc
status, Fixed, Fixed, cccccc
status, Invalid, Invalid, cccccc
priority, Low, P4: Low, 66ccff
priority, Normal, P3: Normal, 3399ff
priority, High, P2: High, 0066ff
priority, Urgent, P1: Urgent, 0000ff
priority, Immediate, P1: Urgent, 0000ff
tracker, Bug, Bug, ff0000
tracker, Feature, Feature, ffcc00
tracker, Task, Task, cc33ff
Category, General, cat: general, 00cc00
Category, Server, cat: server, 00cc00
Category, Client, cat: client, 00cc00
Category, Mod QAGAME, cat: mod QAGAME, 66ff33
Category, Mod CGAME, cat: mod CGAME, 66ff33
Category, Mod UI, cat: mod UI, 66ff33
Category, Mod generic, cat: mod, 66ff33
Category, Mod pak3.pk3, cat: mod, 66ff33
Category, Libs, cat: other, ccff99
Category, Lua API, cat: other, ccff99
Category, Documentation/Wiki, cat: other, ccff99
Category, Renderer, cat: renderer, 009933
Category, Website, cat: other, ccff99